"objid","baumnummer","geometry"
"203948","WO-4324","POINT (2682816.5 1244092.8)"
"172919","WO-5532","POINT (2682688.5 1244102.8)"
"204647","WO-5142","POINT (2682922.8 1244158.8)"
"196757","WO-4319","POINT (2682790 1244056.5)"
"6344","WO-1509","POINT (2682670 1244048.1)"
"174242","WO-6513","POINT (2682985.8 1244288.6)"
"162842","WO-5118","POINT (2682954.2 1244249.2)"
"174236","WO-6514","POINT (2682982.2 1244278.6)"
"204281","WO-5147","POINT (2682897.8 1244207.5)"
"204284","WO-5146","POINT (2682900 1244203)"
"13286","WO-6522","POINT (2682688.8 1244081.1)"
"117983","WO-715","POINT (2682718.8 1244158.2)"
"162815","WO-5126","POINT (2683014 1244169.6)"
"222893","WO-8543","POINT (2682884.8 1244059.5)"
"162812","WO-5134","POINT (2682987.8 1244157.2)"
"167525","WO-4320","POINT (2682779.8 1244074.8)"
"180839","WO-3482","POINT (2683000.8 1244247)"
"203936","WO-5528","POINT (2682830.5 1244078.9)"
"162836","WO-5114","POINT (2682985.8 1244251.4)"
"213515","WO-8302","POINT (2682799.2 1244277.1)"
"223862","WO-4658","POINT (2682665 1244275.9)"
"174245","WO-6511","POINT (2682986.8 1244291.8)"
"222908","WO-8548","POINT (2682882.2 1244067)"
"6254","WO-1496","POINT (2682649.5 1244103.4)"
"174239","WO-6512","POINT (2682984 1244288)"
"162824","WO-5129","POINT (2683018 1244151.1)"
"162818","WO-5127","POINT (2683015.8 1244165.1)"
